,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
61,61,-39.666666666666664,2022-03-08 21:12:53.629795,2022-03-08 21:15:48.528795,0 days 00:02:54.899000,32,0.4,0.00032650817828537684,0.99,0.99,0.00012545589975824703,0.5,1,512,0.9735693516715511,COMPLETE
62,62,-48.0,2022-03-08 21:13:59.826796,2022-03-08 21:14:34.306796,0 days 00:00:34.480000,256,0.4,0.00023860069102212594,0.98,0.9,0.00013012909310217065,2.0,1,512,0.10028591114175484,PRUNED
63,63,-46.666666666666664,2022-03-08 21:14:12.618797,2022-03-08 21:15:04.097796,0 days 00:00:51.478999,64,0.2,0.0007172597156488997,0.8,0.95,9.046775237070269e-05,1.0,20,2048,0.9269099367777346,PRUNED
64,64,-54.333333333333336,2022-03-08 21:14:34.307796,2022-03-08 21:15:23.349798,0 days 00:00:49.042002,64,0.2,0.0006346061360321651,0.8,0.95,8.713861172188496e-05,1.0,20,2048,0.9326702762081284,PRUNED
65,65,-47.666666666666664,2022-03-08 21:15:04.099796,2022-03-08 21:15:55.547795,0 days 00:00:51.447999,64,0.2,0.0004930574116189225,0.8,0.95,6.157627061240607e-05,1.0,20,2048,0.8742603568384277,PRUNED
66,66,-48.333333333333336,2022-03-08 21:15:23.351795,2022-03-08 21:16:12.123796,0 days 00:00:48.772001,64,0.2,0.0005122123445324474,0.8,0.95,0.00011032497707669167,1.0,20,2048,0.7197644167966655,PRUNED
67,67,-55.666666666666664,2022-03-08 21:15:48.531796,2022-03-08 21:16:58.536795,0 days 00:01:10.004999,32,0.4,0.000302752738391015,0.99,0.99,0.00017305761811282764,0.5,1,512,0.9931398232472342,PRUNED
68,68,-46.0,2022-03-08 21:15:55.549797,2022-03-08 21:17:06.631796,0 days 00:01:11.081999,32,0.4,0.00030445387359709315,0.99,0.99,0.00017413056696564304,0.5,1,512,0.9737466703945058,PRUNED
69,69,-48.666666666666664,2022-03-08 21:16:12.124796,2022-03-08 21:17:20.186795,0 days 00:01:08.061999,32,0.4,0.0003294554704701844,0.99,0.99,0.00018222891315778275,0.5,1,512,0.9779812149231789,PRUNED
70,70,-57.0,2022-03-08 21:16:58.537796,2022-03-08 21:18:08.934796,0 days 00:01:10.397000,32,0.4,0.00021442290912232045,0.99,0.99,0.0002041435186202013,0.5,1,512,0.9534438561597881,PRUNED
71,71,-36.0,2022-03-08 21:17:06.632795,2022-03-08 21:19:25.031795,0 days 00:02:18.399000,32,0.4,0.00036449797923952397,0.99,0.9999,0.00020268203570381237,0.3,1,512,0.7825221161362785,COMPLETE
72,72,-46.0,2022-03-08 21:17:20.188796,2022-03-08 21:18:27.983795,0 days 00:01:07.794999,32,0.3,0.00021014519846209172,0.99,0.999,0.0002060461739630939,0.3,5,512,0.7764267289249946,PRUNED
73,73,-47.666666666666664,2022-03-08 21:18:08.936796,2022-03-08 21:19:00.169795,0 days 00:00:51.232999,64,0.3,0.0003816701761604918,0.9,0.9999,9.934243359528729e-05,0.3,5,2048,0.900047205476416,PRUNED
