#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
29,7,18.939641
6,9,18.97089
37,3,18.986516
33,4,19.002139
29,2,19.017763
25,10,19.049015
31,2,19.064642
34,5,19.080265
35,5,19.111517
29,6,19.12714
25,1,19.142766
36,13,19.18964
35,10,19.220891
39,12,19.267766
31,4,19.267766
31,14,20.345889
1,8,20.361516
30,8,20.392766
47,8,20.408391
27,2,20.424016
44,6,20.439641
29,2,20.439641
25,1,20.455264
-9,10,20.486515
25,1,20.486515
25,1,20.486515
35,5,20.502141
48,7,20.533391
37,7,20.549016
27,11,20.580268
44,7,20.595891
28,4,20.611517
35,9,20.642764
34,8,20.658391
25,1,20.674016
29,4,20.674016
34,5,20.689642
33,3,20.705267
24,17,20.767767
-4,11,20.799016
42,5,20.814641
27,2,20.814641
29,5,20.830266
27,4,20.857932
25,1,20.861932
25,1,20.865932
25,1,20.869931
37,5,20.890616
28,13,20.937491
42,6,20.953118
25,1,20.968741
28,3,20.968741
32,5,20.999991
28,10,21.031243
29,2,21.046868
29,2,21.046868
27,2,21.046868
25,2,21.062493
25,2,21.062493
25,1,21.062493
25,1,21.062493
25,1,21.078119
40,7,21.093743
29,6,21.109368
48,9,21.140617
37,2,21.937491
28,6,21.953117
33,3,21.968742
43,6,21.984366
33,11,22.015616
24,6,22.031241
27,2,22.046866
33,3,22.046866
25,1,22.046866
31,4,22.062491
33,4,22.078118
37,7,22.093742
26,7,22.124993
-11,10,22.156242
27,2,22.171869
32,4,22.187493
31,9,22.234368
30,7,22.265616
36,3,22.265616
29,8,22.296866
-2,7,22.328117
27,2,22.343741
37,2,22.343741
2,11,22.390617
43,4,22.406242
43,7,22.421866
29,3,22.437492
31,4,22.437492
31,7,22.468744
25,1,22.468744
25,1,22.468744
38,9,22.499998
32,5,22.499998
27,2,22.515617
38,7,22.531242
-10,11,22.56249
33,5,22.56249
34,6,22.578117
24,3,22.593743
25,1,22.593743
25,3,22.609367
41,4,22.609367
37,16,22.640617
37,8,22.671869
27,2,22.671869
24,4,22.671869
31,4,22.687493
25,1,22.687493
27,2,22.687493
26,12,23.406243
27,2,23.421868
25,1,23.421868
30,8,23.437493
29,6,23.453117
26,11,23.484369
30,17,23.531242
29,6,23.546868
25,5,23.562491
20,23,23.609369
30,4,23.624992
27,2,23.640617
27,3,23.640617
28,11,23.656243
33,11,23.687493
33,9,23.718743
-6,13,23.749994
31,5,23.765618
40,5,23.781242
25,1,23.781242
23,10,23.796867
25,2,23.812492
25,15,23.859367
30,11,23.890619
25,1,23.890619
27,2,23.890619
27,2,23.906241
33,10,23.921869
29,2,23.937493
26,4,23.953116
33,9,23.968743
27,2,23.968743
37,7,23.984368
33,10,24.015619
25,1,24.015619
-11,14,24.046869
35,4,24.062495
25,1,24.062495
28,8,24.781244
42,11,24.812491
25,1,24.812491
35,4,24.828118
31,8,24.843741
35,10,24.874992
25,1,24.874992
32,5,24.890619
33,18,24.921868
27,3,24.937492
33,6,24.953118
36,9,24.968743
44,5,24.984366
31,2,24.984366
27,2,24.999993
30,5,24.999993
27,3,25.015618
34,11,25.046868
