#{"t_start": 1646848340.6345458, "env_id": "wordle-v0"}
r,l,t
7,30,78.912
-8,30,78.946001
-32,30,78.98
14,30,79.013999
-10,30,79.047
-17,30,79.08
-51,30,79.108005
15,30,79.138
18,30,79.164
3,30,79.19
21,30,79.217001
17,30,79.244003
3,30,79.271
5,30,79.299001
20,30,79.327
-6,30,79.372
10,30,79.403
-32,30,79.433
-2,30,79.46
6,30,79.486
16,30,79.513001
8,30,79.539
-27,30,79.568001
2,30,79.6
-30,30,79.628
-1,30,79.655999
-3,30,79.684002
-26,30,79.713002
42,30,79.741005
-1,30,79.77
37,30,79.799001
-22,30,79.825001
30,30,79.851
14,30,79.882999
-3,30,79.908
-42,30,79.933
-38,30,79.959
-9,30,79.987006
28,30,80.017054
-40,30,80.046001
8,30,80.074001
-6,30,80.104
23,30,80.131002
-4,30,80.158
13,30,80.185
-10,30,80.209999
-23,30,80.235999
-10,30,80.261001
35,30,80.289001
19,30,80.325999
16,30,80.355
-6,30,80.385005
-6,30,80.411
-11,30,80.438001
2,30,80.468999
14,30,80.491999
-30,30,80.521
-9,30,80.547001
33,30,80.575001
35,30,80.601
7,30,80.625
-13,30,80.651001
-22,30,80.679001
29,30,80.703001
-4,30,80.731
25,30,80.753
-53,30,80.779
1,30,80.803
-3,30,85.603
-18,30,85.636
-2,30,85.67
-12,30,85.705002
20,30,85.743
-35,30,85.777004
-14,30,85.81
13,30,85.844004
-36,30,85.876
-6,30,85.908001
-45,30,85.939
28,30,85.970001
-20,30,86.001002
-40,30,86.031999
-18,30,86.073001
-36,30,86.161
-13,30,86.191
8,30,86.218001
41,30,86.248001
29,30,86.278007
38,30,86.306999
23,30,86.337
-11,30,86.368053
-10,30,86.395
-2,30,86.470001
-8,30,86.502002
11,30,86.530999
-2,30,86.554999
11,30,86.581
12,30,86.609999
55,30,86.645
14,30,86.675002
20,30,86.707001
-9,30,86.74
-14,30,86.77
37,30,86.799
-10,30,86.828001
-5,30,86.856001
9,30,86.887999
12,30,86.92
7,30,86.967
-3,30,86.998001
29,30,87.029
44,30,87.06
-14,30,87.091
7,30,87.124001
55,30,87.154
19,30,87.197001
-12,30,87.229002
-13,30,87.259
-75,30,87.285002
24,30,87.318001
-32,30,87.357
-28,30,87.405
5,30,87.438
22,30,87.469
7,30,87.516
5,30,87.551001
-18,30,87.588001
-6,30,87.64
-46,30,87.668
-19,30,87.703001
-42,30,87.738
18,30,87.773999
-10,30,87.809001
-29,30,87.845001
-19,30,87.880001
22,30,87.918001
15,30,93.598
-13,30,93.631999
-27,30,93.668001
10,30,93.703
30,30,93.740999
3,30,93.781
26,30,93.814001
16,30,93.845
-27,30,93.878001
-24,30,93.916002
15,30,93.950001
-11,30,93.987
24,30,94.020001
9,30,94.072003
-5,30,94.104001
-36,30,94.138
23,30,94.171
-36,30,94.208
23,30,94.25
-3,30,94.310005
16,30,94.338
21,30,94.365
15,30,94.392006
-39,30,94.419
-10,30,94.444003
-10,30,94.477003
-7,30,94.505002
14,30,94.536
4,30,94.565022
19,30,94.592
1,30,94.619001
-13,30,94.649001
9,30,94.684
-31,30,94.717999
7,30,94.750001
21,30,94.782
4,30,94.812005
24,30,94.838
8,30,94.865002
-42,30,94.893006
-19,30,94.918002
-29,30,94.945
-4,30,94.984
-13,30,95.019008
4,30,95.055001
9,30,95.104002
-46,30,95.154001
-27,30,95.184001
-21,30,95.214
28,30,95.252
-13,30,95.292
-6,30,95.365017
27,30,95.395999
-30,30,95.425001
-12,30,95.457001
47,30,95.491
-22,30,95.541
19,30,95.583
13,30,95.620001
3,30,95.654
-4,30,95.686001
-7,30,95.719
2,30,95.749001
-19,30,95.782001
-4,30,95.818001
12,30,95.851
-25,30,95.885014
-33,30,95.921999
-8,30,101.764
-6,30,101.802
-9,30,101.835001
8,30,101.868
18,30,101.907
-8,30,101.94
-27,30,101.971999
-10,30,102.000001
-42,30,102.028007
-8,30,102.053
23,30,102.077
17,30,102.118005
-4,30,102.144
-10,30,102.176
34,30,102.206
-5,30,102.234005
-13,30,102.265005
-3,30,102.291
-31,30,102.32
-29,30,102.352002
7,30,102.381999
-48,30,102.408005
-8,30,102.437
22,30,102.462002
31,30,102.488002
32,30,102.518001
1,30,102.544002
-31,30,102.574002
-7,30,102.609003
-10,30,102.642999
-21,30,102.679001
-33,30,102.716
43,30,102.749
-21,30,102.779999
-39,30,102.809005
-36,30,102.841002
31,30,102.875001
-10,30,102.909
25,30,102.941999
-37,30,102.976
-9,30,103.006
-2,30,103.035001
24,30,103.069001
-2,30,103.099999
9,30,103.133005
49,30,103.177
-4,30,103.210001
-34,30,103.241
10,30,103.273999
-36,30,103.305
42,30,103.338
-41,30,103.371
33,30,103.401
-30,30,103.431
3,30,103.468999
-17,30,103.501999
-7,30,103.531001
14,30,103.562001
8,30,103.596999
-3,30,103.624
0,30,103.653001
-75,30,103.689999
-11,30,103.722999
14,30,103.756
29,30,103.788999
-6,30,103.822001
-11,30,103.854
4,30,103.885999
-20,30,103.918999
11,30,109.640999
-36,30,109.676
-7,30,109.709001
22,30,109.743001
-6,30,109.779
23,30,109.817
5,30,109.851
11,30,109.884
-10,30,109.917001
-28,30,112.149999
-34,30,112.183999
-16,30,112.218
14,30,112.252
13,30,112.285001
-1,30,112.318999
-27,30,112.351
-16,30,112.381999
20,30,112.417
-5,30,112.449
15,30,112.481
33,30,112.513
3,30,112.543
-6,30,112.575001
-3,30,112.611
33,30,112.643999
3,30,112.677
8,30,112.706999
-30,30,112.736
22,30,112.768999
-12,30,112.804001
-75,30,112.838001
-3,30,112.871001
-33,30,112.908
-23,30,112.938999
21,30,112.968999
-2,30,113.002999
-39,30,113.036
-5,30,113.069002
-4,30,113.103004
22,30,113.136
30,30,113.168001
14,30,113.202008
5,30,113.249999
-32,30,113.284
-5,30,113.315001
-42,30,113.349
7,30,113.381
17,30,113.413
30,30,113.442999
-16,30,113.475999
-24,30,113.51
-1,30,113.543
29,30,113.575999
-4,30,113.604
-18,30,113.636999
40,30,113.667
-38,30,113.698
-2,30,113.729999
12,30,113.762
9,30,113.790999
36,30,113.824001
4,30,113.857
12,30,113.891999
-18,30,113.924014
-6,30,113.956999
23,30,113.987999
-4,30,114.019
-1,30,114.047999
-30,30,120.162
28,30,120.201001
30,30,120.238001
19,30,120.276
-7,30,120.315
-34,30,120.346999
3,30,120.385021
0,30,120.43501
21,30,120.503999
21,30,120.545
37,30,120.579
-5,30,120.612999
-19,30,120.646
-38,30,120.674999
-1,30,120.704999
-13,30,120.736999
22,30,120.765999
9,30,120.798999
2,30,120.832
23,30,120.863
-10,30,120.896
9,30,120.93
-22,30,120.962001
-6,30,120.993
3,30,121.019002
-75,30,121.051999
-36,30,121.084
-1,30,121.118001
6,30,121.152
25,30,121.209031
-8,30,121.27
1,30,121.309999
13,30,121.344
-38,30,121.377003
-12,30,121.411001
-9,30,121.446
37,30,121.48
-26,30,121.513
4,30,121.547
13,30,121.580001
12,30,121.612
-24,30,121.661001
9,30,121.694
-12,30,121.727004
-10,30,121.761001
10,30,121.794
13,30,121.827004
-16,30,121.854001
-22,30,121.883999
-11,30,121.916
-53,30,121.950016
-13,30,121.998001
31,30,122.043
-33,30,122.073
13,30,122.109013
-14,30,122.152
-36,30,122.188
1,30,122.225008
-2,30,122.253999
16,30,122.286003
-19,30,122.319
1,30,122.364
-2,30,122.406033
19,30,122.442058
-20,30,122.477
2,30,122.511
16,30,122.544
23,30,122.576999
37,30,129.216001
-19,30,129.252001
-10,30,129.285002
16,30,129.318001
-31,30,129.353
9,30,129.39
18,30,129.438
-4,30,129.472
2,30,129.506
10,30,129.539
16,30,129.572999
-39,30,129.607
-5,30,129.64
40,30,129.673
-8,30,129.702
9,30,129.729999
-5,30,129.762001
15,30,129.793
-6,30,129.822
-9,30,129.851999
3,30,129.882
16,30,129.915
16,30,129.948
8,30,129.977001
-1,30,130.011
-49,30,130.044001
14,30,130.077
23,30,130.108999
0,30,130.143
-16,30,130.177
-21,30,130.210001
-15,30,130.241019
26,30,130.27502
-3,30,130.307
8,30,130.340001
-9,30,130.373
-2,30,130.401999
-14,30,130.433
2,30,130.465999
-27,30,130.498999
-18,30,130.541
-13,30,130.573
-11,30,130.606
25,30,130.64
-18,30,130.672
-6,30,130.704999
0,30,130.736
-5,30,130.770001
22,30,130.799
22,30,130.832001
6,30,130.865
26,30,130.897
6,30,130.926001
-20,30,130.954999
-38,30,130.988
43,30,131.022002
-2,30,131.059001
37,30,131.097999
-16,30,131.124999
24,30,131.152999
-2,30,131.183
-36,30,131.213
-6,30,131.246001
-3,30,131.277003
-26,30,131.309999
-4,30,131.342
10,30,131.370999
3,30,131.400999
-22,30,137.664
-4,30,137.697001
-11,30,137.730001
-22,30,137.764
-52,30,137.803001
9,30,137.856
37,30,137.896999
-45,30,137.938024
-1,30,137.980001
13,30,138.028001
30,30,138.063001
-1,30,138.099
-1,30,138.133
-5,30,138.169001
-17,30,138.203001
-16,30,138.238
2,30,138.272
26,30,138.302999
5,30,138.352001
-19,30,138.39
-25,30,138.427001
-3,30,138.456
19,30,138.489001
-35,30,138.521051
-3,30,138.555051
-15,30,138.58805
40,30,138.62105
1,30,138.65505
40,30,138.69205
-9,30,138.72505
25,30,138.760051
24,30,138.79405
37,30,138.830051
-33,30,138.867052
-25,30,138.918051
20,30,138.991051
-7,30,139.029053
25,30,139.06005
-8,30,139.119051
-6,30,139.228052
-5,30,139.310052
25,30,139.494051
-9,30,139.638058
41,30,139.693052
-20,30,139.729051
-1,30,139.76705
-75,30,139.80205
-75,30,139.837051
1,30,139.880051
