,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
42,42,6.666666666666667,2022-03-05 15:39:17.561507,2022-03-05 15:39:54.556742,0 days 00:00:36.995235,,256,0.2,0.0020173740131796862,1.0,0.9,4.487985934415854e-05,0.3,10,1024,,0.7413700660776118,PRUNED
43,43,3.6666666666666665,2022-03-05 15:39:54.556742,2022-03-05 15:40:59.263169,0 days 00:01:04.706427,,256,0.2,0.00014230283412997732,0.9,0.95,2.3742727459754457e-05,5.0,1,64,,0.54322800922636,COMPLETE
44,44,3.0,2022-03-05 15:40:59.278794,2022-03-05 15:41:37.473020,0 days 00:00:38.194226,,256,0.2,0.0011081239011318646,0.98,0.99,0.00011255379114829522,0.5,10,256,,0.9019764137337758,PRUNED
45,45,6.666666666666667,2022-03-05 15:41:37.473020,2022-03-05 15:42:20.977247,0 days 00:00:43.504227,,32,0.2,0.008058948610877638,0.99,0.999,1.2568454611639131e-05,0.7,5,2048,,0.23296731107106233,PRUNED
46,46,4.666666666666667,2022-03-05 15:42:20.977247,2022-03-05 15:43:03.082978,0 days 00:00:42.105731,,128,0.2,0.0007550140948413672,0.92,0.995,0.00040694663844984637,2.0,10,128,,0.9592005080054095,PRUNED
47,47,5.333333333333333,2022-03-05 15:43:03.082978,2022-03-05 15:44:42.540741,0 days 00:01:39.457763,,64,0.2,0.003755861629389845,1.0,0.99,5.601294789974536e-05,1.0,10,1024,,0.3767501398506927,COMPLETE
48,48,3.0,2022-03-05 15:44:42.540741,2022-03-05 15:45:13.256487,0 days 00:00:30.715746,,256,0.3,0.006170391550344731,0.95,0.9999,1.7526389820702103e-05,0.3,1,512,,0.5050762057258292,PRUNED
49,49,-3.3333333333333335,2022-03-05 15:45:13.256487,2022-03-05 15:48:36.878943,0 days 00:03:23.622456,,32,0.2,0.008243361557520677,0.8,0.95,4.067006041078501e-05,0.7,20,128,,0.8470717455020672,COMPLETE
50,50,-2.6666666666666665,2022-03-05 15:48:36.880944,2022-03-05 15:49:11.768554,0 days 00:00:34.887610,,512,0.1,0.0017505944794313152,0.99,0.99,3.297001219597509e-05,0.5,10,1024,,0.6631870664346289,PRUNED
51,51,2.6666666666666665,2022-03-05 15:49:11.768554,2022-03-05 15:49:59.682537,0 days 00:00:47.913983,,64,0.2,0.00363071816500337,1.0,0.99,5.035519660445456e-05,1.0,10,1024,,0.3732664222105597,PRUNED
52,52,4.666666666666667,2022-03-05 15:49:59.682537,2022-03-05 15:50:38.964501,0 days 00:00:39.281964,,128,0.2,0.008395776274905297,0.95,0.995,7.564575822170757e-05,0.5,10,2048,,0.05823410264382957,PRUNED
53,53,4.666666666666667,2022-03-07 15:22:11.577736,2022-03-07 15:22:47.671213,0 days 00:00:36.093477,,128,0.2,0.005439301982890643,0.95,0.995,2.4974590744408118e-05,0.5,10,2048,,0.5902299509357524,PRUNED
54,54,2.6666666666666665,2022-03-07 15:22:47.671213,2022-03-07 15:23:23.724787,0 days 00:00:36.053574,,128,0.2,0.006621312485627631,0.95,0.995,4.642015377556071e-05,0.5,10,2048,,0.16988117705072886,PRUNED
55,55,3.3333333333333335,2022-03-07 15:23:23.724787,2022-03-07 15:23:53.851473,0 days 00:00:30.126686,,128,0.2,0.009659130385469549,0.9,0.995,1.8757846863859847e-05,0.5,10,2048,,0.74205166258153,PRUNED
56,56,0.6666666666666666,2022-03-07 15:23:53.851473,2022-03-07 15:24:22.394904,0 days 00:00:28.543431,,512,0.1,0.005877838460812505,0.95,0.9,1.1404958926232722e-05,0.9,10,128,,0.309616491051884,PRUNED
57,57,9.666666666666666,2022-03-07 15:24:22.394904,2022-03-07 15:24:55.626723,0 days 00:00:33.231819,,64,0.4,0.0027130165584011213,1.0,0.99,6.15656812290274e-05,1.0,10,1024,,0.45476926951073404,PRUNED
58,58,6.0,2022-03-07 15:24:55.626723,2022-03-07 15:25:22.595028,0 days 00:00:26.968305,,64,0.2,0.004607654843257071,1.0,0.99,1.4204177267945296e-05,1.0,5,1024,,0.9290631260706279,PRUNED
59,59,6.333333333333333,2022-03-07 15:25:22.595028,2022-03-07 15:26:07.461601,0 days 00:00:44.866573,,32,0.3,0.008644922249429123,0.99,0.995,9.52729346992621e-05,0.7,10,256,,0.2186766565919277,PRUNED
60,60,-5.0,2022-03-07 15:26:07.461601,2022-03-07 15:26:53.200149,0 days 00:00:45.738548,,512,0.1,0.004017852265299418,0.9,0.999,0.00018057649656765313,2.0,1,64,,0.03367169352746101,COMPLETE
61,61,5.0,2022-03-07 15:26:53.200149,2022-03-07 15:27:25.835567,0 days 00:00:32.635418,,64,0.2,0.006162078122166903,1.0,0.99,5.56166046460668e-05,1.0,10,1024,,0.3740165558550367,PRUNED
62,62,7.0,2022-03-07 15:27:25.835567,2022-03-07 15:27:58.183176,0 days 00:00:32.347609,,64,0.2,0.0071425895757844474,1.0,0.99,3.0900269001121656e-05,1.0,10,1024,,0.46018677103137606,PRUNED
63,63,9.0,2022-03-07 15:27:59.276926,2022-03-07 15:28:28.028924,0 days 00:00:28.751998,,256,0.2,0.0030667159861525765,0.92,0.995,0.00011615677861895233,1.0,10,128,,0.2844716266795717,PRUNED
64,64,-1.0,2022-03-07 15:28:28.028924,2022-03-07 15:28:54.826238,0 days 00:00:26.797314,,128,0.2,0.0053909585858797375,1.0,0.999,3.769297929517129e-05,5.0,10,2048,,0.39227863587548195,PRUNED
