#{"t_start": 1646607295.5858188, "env_id": "WordleWord-v0"}
r,l,t
14,6,23.225999
6,6,23.252999
3,6,23.273999
-3,6,23.296
-11,6,23.315
23,6,23.335
2,8,23.360999
5,7,23.385999
11,7,23.414999
-4,6,23.433998
7,6,23.451998
12,7,23.472999
13,7,23.491998
8,6,23.509004
3,6,23.524998
1,7,23.544998
8,7,23.564
0,7,23.582
14,6,23.594999
14,6,23.633999
27,6,23.647998
25,1,23.650998
10,6,23.663998
27,3,23.672998
5,6,23.689998
-6,6,23.705999
2,7,23.724999
25,6,23.741999
3,8,23.762998
17,8,23.784998
2,7,23.800998
4,6,23.815999
27,3,23.823999
9,7,23.841998
21,6,23.854998
7,6,23.871999
-2,6,23.889999
0,6,23.906999
1,9,23.932
12,7,24.891999
-1,6,24.917999
1,8,24.963
-5,6,24.989998
9,6,25.02
17,7,25.071001
0,6,25.106
33,6,25.138999
-3,6,25.178
-1,8,25.203998
25,1,25.206998
7,6,25.237999
-9,8,25.271999
0,6,25.298999
47,5,25.313999
20,6,25.331999
9,6,25.349001
9,6,25.365999
53,6,25.379999
43,7,25.396999
4,6,25.413999
6,7,25.431999
28,6,25.448
25,1,25.450001
19,9,25.473999
-6,7,25.492
8,6,25.507999
4,6,25.524011
6,6,25.538998
8,6,25.555999
-4,6,25.580998
39,4,25.601
9,6,25.638
4,7,25.688998
22,6,25.712998
8,6,25.733999
-3,6,25.754999
14,7,25.778998
-10,7,25.801999
7,8,25.824999
27,2,25.830998
-2,6,25.847999
2,7,25.868999
3,6,25.886999
-13,8,25.909998
1,6,25.928999
3,7,25.952998
0,6,25.971999
-2,7,25.996999
19,6,26.013999
22,6,26.038999
18,6,26.056998
2,6,26.081999
18,9,26.107
-3,6,26.157
3,7,26.19
6,6,26.215999
12,7,26.241999
5,6,26.264
-2,6,26.284998
-1,6,26.304999
0,6,26.324998
8,6,26.342999
0,7,26.362999
20,6,26.378999
31,5,26.392998
10,6,26.414999
11,6,26.432998
4,7,26.460998
13,6,26.485999
2,7,26.510999
25,6,26.535999
1,6,26.562999
23,7,26.589
0,6,26.606999
4,6,26.632999
0,6,26.68
12,6,26.710999
25,1,26.715
13,6,26.738999
4,6,26.773999
1,6,26.792998
-11,6,26.810999
-7,6,26.836
7,6,27.845001
0,6,27.859999
7,6,27.875999
4,6,27.889999
11,6,27.905999
11,6,27.925999
-4,7,27.946
35,4,27.970001
16,6,27.983999
19,6,28.000999
9,6,28.018
16,6,28.031999
8,6,28.047999
1,6,28.061999
1,6,28.084
19,8,28.112998
9,6,28.137999
58,4,28.149998
21,7,28.174999
3,6,28.192998
0,6,28.211
5,6,28.243999
-2,6,28.286999
15,6,28.313998
4,6,28.340998
8,6,28.368998
-2,6,28.397997
20,6,28.424999
12,6,28.450999
6,7,28.477998
0,6,28.495998
6,6,28.512998
0,6,28.530998
2,6,28.546998
3,6,28.561999
35,7,28.588001
8,6,28.609001
-6,7,28.633999
-2,6,28.649999
7,6,28.668
-6,6,28.686999
-10,7,28.712999
8,8,28.733999
8,6,28.750999
8,7,28.768999
4,7,28.787999
12,6,28.805999
11,9,28.833999
5,6,28.849999
-2,6,28.867
5,6,28.881999
-7,6,28.898
7,6,28.913998
15,6,28.930998
14,6,28.95
6,6,28.966999
-4,6,28.986
-5,7,29.006
-8,7,29.028
6,7,29.073999
-9,6,29.102
-5,6,29.13
-2,6,29.158998
-3,6,29.187
6,7,29.208999
5,6,29.228
18,6,29.245999
15,6,29.263998
16,6,29.281
13,6,29.294999
-2,7,29.309999
9,6,29.325
-7,8,29.346998
14,6,29.361998
17,6,29.376998
-1,6,29.394998
17,6,29.409998
15,6,29.422999
-1,6,29.439999
-5,6,29.456998
4,8,29.478999
4,7,29.497998
5,6,30.466
-5,6,30.481999
14,6,30.497999
5,6,30.514999
4,6,30.538999
11,6,30.566999
3,6,30.595998
2,8,30.638998
17,6,30.665998
9,7,30.707999
-5,6,30.754
26,6,30.781
-1,7,30.812999
42,4,30.830998
7,6,30.856998
1,6,30.878998
10,6,30.895998
32,5,30.909998
6,6,30.924998
-1,6,30.940999
-6,6,30.956998
3,6,30.972999
23,6,30.985999
-4,6,31.003
34,3,31.011999
14,7,31.033
5,6,31.049
5,9,31.073999
8,8,31.121998
13,6,31.299999
11,6,31.319999
10,6,31.342
-10,6,31.368
5,7,31.393001
-6,6,31.415
10,7,31.440998
25,1,31.444999
18,8,31.470999
-4,6,31.493999
-7,6,31.514999
-2,7,31.541998
0,7,31.566999
-1,6,31.590999
1,6,31.614999
25,1,31.617999
39,7,31.641999
2,6,31.662998
-6,6,31.684999
0,6,31.706
-6,6,31.724998
0,7,31.746999
21,7,31.852999
4,6,31.878999
0,7,31.897998
0,7,31.915998
4,6,31.934
17,6,31.953001
-9,6,31.971999
8,7,31.993999
25,2,31.999999
-2,6,32.019999
16,7,32.039
-5,7,32.058998
14,7,32.079
34,2,32.084
-9,6,32.099999
59,6,32.116999
4,6,32.132
8,6,32.145
-9,8,32.163
-8,7,32.181
20,6,32.194
6,7,32.212
1,6,32.224001
3,7,32.239
2,6,32.254999
29,6,32.276999
-1,6,32.299999
-2,7,32.331999
1,6,32.358998
-2,6,32.385999
3,6,32.405999
1,7,32.427999
-9,6,32.443999
-4,6,33.353999
-1,6,33.379999
31,5,33.410998
11,7,33.434999
-4,6,33.451
-1,6,33.468
-3,9,33.492999
6,6,33.507998
2,8,33.529998
6,6,33.545999
10,6,33.562999
13,6,33.583999
-3,7,33.616999
12,6,33.633
-6,7,33.652999
27,2,33.658998
-1,6,33.674999
-4,6,33.694999
16,6,33.713
31,3,33.722
-6,7,33.737
2,6,33.755
14,7,33.772999
12,6,33.789
0,7,33.808998
2,6,33.825999
1,6,33.842998
14,6,33.861998
25,1,33.864998
-2,6,33.886999
12,7,33.913
7,6,33.929999
9,6,33.948
-5,6,33.964998
25,2,33.970999
2,7,33.990999
9,7,34.043
39,3,34.053999
-4,6,34.072999
-1,6,34.091999
-1,6,34.109998
-4,7,34.131999
1,7,34.152009
7,6,34.172
9,6,34.189
41,3,34.198
33,4,34.209998
1,7,34.229001
5,6,34.243999
2,6,34.260998
4,7,34.277998
4,6,34.293998
-4,6,34.310999
4,7,34.329998
13,6,34.351999
-1,6,34.371001
6,6,34.390999
-2,7,34.415
3,6,34.452
3,6,34.468
3,6,34.482001
10,6,34.496999
6,7,34.517
3,7,34.536999
23,6,34.550999
13,6,34.565998
0,6,34.582006
3,7,34.605999
-4,6,34.626
10,7,34.643998
4,6,34.661
-2,7,34.680998
15,6,34.699998
29,6,34.720998
52,6,34.739999
29,3,34.749
-1,7,34.774998
4,6,34.793998
-3,6,34.813999
35,5,34.834999
0,6,34.860998
-3,7,34.887998
14,6,34.927999
16,6,34.959999
25,1,34.965001
4,7,34.993999
18,6,35.935999
40,3,35.943001
3,6,35.956
22,6,35.969999
2,6,35.984999
15,7,36.004
7,6,36.019999
-4,6,36.036999
7,6,36.049999
20,6,36.064999
-2,6,36.079998
4,8,36.101999
-3,6,36.116999
1,9,36.139999
-3,6,36.154
-5,7,36.176999
2,6,36.195
34,2,36.201999
-1,6,36.220999
-1,7,36.305999
15,6,36.329998
14,6,36.354999
17,6,36.385999
6,6,36.418
3,6,36.445998
7,7,36.481
-2,7,36.516999
-3,7,36.552
0,7,36.583
-1,6,36.607
-2,7,36.638
5,6,36.662
53,6,36.683999
27,3,36.695
12,8,36.726999
1,6,36.747999
-1,6,36.765
-1,7,36.782999
-2,6,36.798999
-9,8,36.822
2,6,36.839
13,7,36.860999
25,1,36.864
-2,6,36.882
5,6,36.898999
5,6,36.915999
-3,6,36.932003
16,6,36.950999
13,6,36.97
18,6,36.989
15,6,37.006998
6,6,37.023998
4,6,37.041
3,6,37.06
-3,6,37.072999
8,6,37.088998
-4,6,37.106
-7,6,37.123
8,7,37.142999
25,6,37.161999
49,4,37.174999
-9,6,37.194999
-4,6,37.216998
18,6,37.237
-3,6,37.255998
0,6,37.279999
1,6,37.313999
13,7,37.353
2,6,37.435
10,6,37.469999
3,6,37.497999
11,6,37.572999
4,6,37.601998
0,6,37.629998
-4,6,37.650998
-1,6,37.733
4,6,37.781001
3,6,37.818999
15,6,37.852001
0,7,37.889999
4,6,37.925
24,7,37.961
-5,6,37.989
15,6,38.012023
16,6,39.235
10,6,39.262999
10,6,39.285
6,7,39.305998
13,6,39.329999
2,6,39.353999
2,6,39.377
8,6,39.406
-1,6,39.422999
-2,6,39.442
16,7,39.462999
-5,6,39.479999
13,6,39.498
18,6,39.517
-2,9,39.543998
8,6,39.562999
-6,7,39.582999
-4,7,39.604998
13,6,39.622999
8,6,39.641999
7,6,39.659
0,9,39.683999
21,7,39.702999
26,6,39.718999
25,2,39.724998
12,6,39.740999
11,6,39.756999
4,6,39.773998
9,6,39.789999
27,2,39.797999
1,7,39.821999
41,3,39.834998
13,6,39.861
0,6,39.879998
3,6,39.901999
26,6,39.920999
40,6,39.938998
-2,7,39.964999
0,6,39.982998
-2,7,40.002998
32,4,40.02
-2,6,40.045
4,6,40.068999
-3,6,40.099999
-3,7,40.13
39,7,40.162
6,6,40.193001
33,4,40.205
-6,6,40.224
3,6,40.244
14,6,40.262999
10,6,40.281011
10,6,40.298998
-3,6,40.345001
-3,6,40.404
2,7,40.442
-2,6,40.47
-9,8,40.502999
8,6,40.527
6,6,40.546999
2,8,40.573
2,6,40.593
44,7,40.614999
7,6,40.634998
50,6,40.669998
1,6,40.698999
4,7,40.733001
3,6,40.764998
1,6,40.791998
4,8,40.818001
-2,6,40.834999
18,7,40.857998
6,7,40.879999
25,1,40.882998
38,4,40.895
7,6,40.913998
2,6,40.937999
6,7,40.962998
4,6,41.055
6,6,41.072999
-3,6,41.227999
1,6,41.251
4,6,41.273
-6,7,41.497999
-5,6,42.512999
3,7,42.536999
-3,6,42.556
-7,7,42.577999
32,6,42.600011
1,7,42.627
-11,6,42.645998
0,6,42.666044
-1,7,42.688999
0,6,42.712998
25,1,42.717999
-7,6,42.741998
2,6,42.766085
8,7,42.794005
-2,6,42.814
0,6,42.832
16,6,42.847999
8,6,42.862999
3,6,42.878999
3,6,42.894999
-3,7,42.917
40,7,42.937
6,6,42.951998
-4,6,42.969
2,6,42.985999
34,2,42.990998
16,6,43.007998
-1,7,43.026999
1,6,43.042998
15,6,43.059
-9,8,43.081999
3,8,43.100999
17,6,43.116001
-2,6,43.129999
15,6,43.147
45,4,43.158999
3,6,43.177999
-2,6,43.195
-1,6,43.210999
-2,6,43.225998
-5,6,43.244
-3,6,43.27
10,6,43.295999
25,7,43.328998
42,3,43.342999
1,7,43.372999
-3,6,43.390999
18,6,43.416
-2,6,43.444999
9,7,43.48
3,6,43.509001
5,6,43.526
14,7,43.545998
17,6,43.567998
-11,6,43.588
-2,6,43.607999
14,6,43.625
9,6,43.641
7,6,43.657
10,6,43.672999
38,6,43.686999
16,6,43.703998
1,6,43.721
0,7,43.74
14,7,43.76
6,7,43.777999
9,7,43.800188
18,6,43.817999
8,6,43.835
25,1,43.838
36,4,43.850175
7,6,43.867001
10,6,43.883999
15,6,43.896998
5,6,43.913
18,6,43.931
-5,6,43.947998
12,6,43.965999
13,6,43.985998
-6,7,44.013999
6,6,44.036999
-2,7,44.058998
-1,8,44.09
31,5,44.111
-3,6,44.135999
13,6,45.049
2,6,45.073
39,3,45.085
36,4,45.099001
32,2,45.106
6,6,45.126998
38,4,45.141
-5,6,45.169999
6,6,45.188999
11,6,45.208999
10,7,45.239998
25,1,45.244
-1,6,45.260999
-1,7,45.281999
3,7,45.301998
43,4,45.312999
-3,6,45.329998
