#{"t_start": 1646582590.7579508, "env_id": "wordle-v0"}
r,l,t
18.0,30,22.471367
240.0,30,22.502616
76.0,30,22.533867
109.0,30,22.644475
142.0,30,22.675722
40.0,30,22.738224
29.0,30,22.769473
58.0,30,22.800723
62.0,30,22.831973
76.0,30,22.863223
18.0,30,22.878848
98.0,30,22.910098
69.0,30,22.94135
40.0,30,22.972599
47.0,30,23.00385
69.0,30,23.019474
69.0,30,23.050723
102.0,30,23.081975
207.0,30,23.113225
124.0,30,23.12885
171.0,30,23.238226
29.0,30,23.269474
102.0,30,23.316349
145.0,30,23.347599
29.0,30,23.378848
58.0,30,23.410099
29.0,30,23.441349
47.0,30,23.472599
124.0,30,23.503851
102.0,30,23.519475
76.0,30,23.550729
80.0,30,23.581975
102.0,30,23.613223
76.0,30,23.628849
182.0,30,23.6601
178.0,30,23.675725
80.0,30,23.706973
113.0,30,23.81635
91.0,30,23.878849
73.0,30,23.910099
182.0,30,23.941349
29.0,30,23.9726
109.0,30,24.003849
102.0,30,24.0351
120.0,30,24.050724
18.0,30,24.081976
131.0,30,24.113226
62.0,30,24.12885
98.0,30,24.1601
29.0,30,24.191351
29.0,30,24.22261
116.0,30,24.25385
51.0,30,24.269476
18.0,30,24.300723
80.0,30,24.410101
58.0,30,24.441349
160.0,30,24.472599
160.0,30,24.503849
80.0,30,24.535099
80.0,30,24.566349
29.0,30,24.597598
80.0,30,24.628847
109.0,30,24.644473
149.0,30,24.675724
131.0,30,24.706974
102.0,30,24.738224
40.0,30,24.769475
91.0,30,24.800725
91.0,30,24.816349
47.0,30,24.8476
69.0,30,24.878849
87.0,30,24.988225
25.0,30,25.050724
69.0,30,25.081973
29.0,30,25.113224
98.0,30,25.160099
178.0,30,25.194587
47.0,30,25.220264
40.0,30,25.251516
91.0,30,25.267141
69.0,30,25.29839
18.0,30,25.329643
62.0,30,25.360889
91.0,30,25.376516
40.0,30,25.407766
98.0,30,25.439015
113.0,30,25.470263
80.0,30,25.48589
73.0,30,25.595265
40.0,30,25.626514
29.0,30,25.657764
138.0,30,25.689015
-15.0,30,25.73589
80.0,30,25.767141
80.0,30,25.798389
102.0,30,25.829641
58.0,30,25.845267
164.0,30,25.876516
62.0,30,25.907767
69.0,30,25.939015
91.0,30,25.970265
178.0,30,25.985889
-4.0,30,26.01714
120.0,30,26.048388
98.0,30,26.079639
189.0,30,26.189015
80.0,30,26.220265
40.0,30,26.251515
127.0,30,26.282767
29.0,30,26.314016
80.0,30,26.345265
120.0,30,26.376515
69.0,30,26.407764
76.0,30,26.439014
138.0,30,26.470266
200.0,30,26.48589
51.0,30,26.51714
69.0,30,26.548391
58.0,30,26.579639
98.0,30,26.61089
76.0,30,26.642139
47.0,30,26.657764
40.0,30,26.76714
109.0,30,26.79839
7.0,30,26.82964
149.0,30,26.86089
211.0,30,26.907764
124.0,30,26.939015
62.0,30,26.970265
87.0,30,26.985889
160.0,30,27.01716
80.0,30,27.04839
127.0,30,27.079639
29.0,30,27.110889
142.0,30,27.126516
91.0,30,27.157763
138.0,30,27.189017
91.0,30,27.220266
40.0,30,27.251515
109.0,30,27.282765
29.0,30,27.407764
62.0,30,27.439015
131.0,30,27.470266
160.0,30,27.501515
69.0,30,27.532765
127.0,30,27.564017
29.0,30,27.595266
69.0,30,27.626516
80.0,30,27.657767
120.0,30,27.673391
80.0,30,27.720264
131.0,30,27.73589
7.0,30,27.767138
-4.0,30,27.79839
138.0,30,27.814015
80.0,30,27.86089
138.0,30,27.876516
65.0,30,27.98589
138.0,30,28.017141
51.0,30,28.04839
131.0,30,28.07964
131.0,30,28.110892
18.0,30,28.14214
131.0,30,28.173389
251.0,30,28.20464
29.0,30,28.220264
120.0,30,28.251513
171.0,30,28.282764
109.0,30,28.314013
40.0,30,28.329639
40.0,30,28.36089
229.0,30,28.39214
51.0,30,28.439015
91.0,30,28.470265
91.0,30,28.579642
80.0,30,28.61089
51.0,30,28.64214
29.0,30,28.689014
80.0,30,28.720266
29.0,30,28.751514
36.0,30,28.782764
109.0,30,28.79839
58.0,30,28.829638
131.0,30,28.860891
80.0,30,28.876514
51.0,30,28.907767
18.0,30,28.939015
80.0,30,28.954639
120.0,30,28.98589
40.0,30,29.017143
76.0,30,29.032764
102.0,30,29.142139
69.0,30,29.173389
80.0,30,29.20464
131.0,30,29.23589
193.0,30,29.267141
76.0,30,29.298389
69.0,30,29.32964
120.0,30,29.36089
69.0,30,29.39214
47.0,30,29.423392
18.0,30,29.45464
149.0,30,29.470264
40.0,30,29.501515
36.0,30,29.532764
131.0,30,29.564017
58.0,30,29.595264
69.0,30,29.626514
69.0,30,29.73589
18.0,30,29.767141
229.0,30,29.798391
80.0,30,29.829641
69.0,30,29.86089
69.0,30,29.907765
36.0,30,29.939017
113.0,30,29.954639
171.0,30,29.985889
138.0,30,30.001514
98.0,30,30.032763
69.0,30,30.064014
