#{"t_start": 1646415598.1151147, "env_id": "wordle-v0"}
r,l,t
21.0,30,60.665133
45.0,30,60.696384
21.0,30,60.743258
17.0,30,60.77451
61.0,30,60.805758
25.0,30,60.837012
57.0,30,60.883884
29.0,30,60.915132
25.0,30,60.946384
13.0,30,60.977635
13.0,30,61.02451
5.0,30,61.071384
49.0,30,61.102635
45.0,30,61.14951
69.0,30,61.227633
41.0,30,61.258883
17.0,30,61.290134
37.0,30,61.321383
25.0,30,61.352635
69.0,30,61.399509
33.0,30,61.430762
77.0,30,61.462008
29.0,30,61.508884
69.0,30,61.540135
13.0,30,61.571384
65.0,30,61.618259
25.0,30,61.64951
37.0,30,61.680759
37.0,30,61.722745
97.0,30,61.753999
33.0,30,61.785247
61.0,30,61.816496
33.0,30,61.847747
5.0,30,61.894622
53.0,30,61.925873
41.0,30,61.957123
45.0,30,62.003997
41.0,30,62.035248
57.0,30,62.066498
17.0,30,62.097749
1.0,30,62.128998
13.0,30,62.160246
57.0,30,62.207125
-7.0,30,62.238372
49.0,30,62.269621
9.0,30,62.302086
25.0,30,62.333336
33.0,30,62.364588
57.0,30,62.442711
61.0,30,62.473962
-7.0,30,62.505211
33.0,30,62.552086
25.0,30,62.583336
25.0,30,62.614588
37.0,30,62.645837
101.0,30,62.677088
29.0,30,62.723963
-3.0,30,62.755213
1.0,30,62.786463
41.0,30,62.817714
77.0,30,62.848963
5.0,30,62.880212
21.0,30,62.911461
17.0,30,62.942712
21.0,30,62.989585
21.0,30,63.020839
37.0,30,63.052088
121.0,30,65.881709
25.0,30,65.912944
17.0,30,65.959819
9.0,30,65.991069
13.0,30,66.037944
1.0,30,66.069193
69.0,30,66.100443
57.0,30,66.147319
25.0,30,66.178567
81.0,30,66.209816
1.0,30,66.241092
53.0,30,66.287943
45.0,30,66.319193
21.0,30,66.350445
13.0,30,66.397319
57.0,30,66.444192
13.0,30,66.475442
53.0,30,66.506694
-3.0,30,66.553569
101.0,30,66.584818
-3.0,30,66.616071
-3.0,30,66.662944
49.0,30,66.694193
29.0,30,66.738312
29.0,30,66.769567
21.0,30,66.816441
37.0,30,66.847694
25.0,30,66.878942
33.0,30,66.925818
9.0,30,66.957066
1.0,30,66.988317
9.0,30,67.035191
33.0,30,67.066441
5.0,30,67.097692
9.0,30,67.144566
9.0,30,67.175816
29.0,30,67.222691
69.0,30,67.269567
53.0,30,67.316442
25.0,30,67.347689
57.0,30,67.378941
9.0,30,67.425815
-7.0,30,67.457066
17.0,30,67.488312
5.0,30,67.535187
29.0,30,67.566438
9.0,30,67.597688
13.0,30,67.660191
57.0,30,67.691439
21.0,30,67.722688
29.0,30,67.753937
25.0,30,67.78519
33.0,30,67.816439
29.0,30,67.84769
69.0,30,67.878939
21.0,30,67.925815
81.0,30,67.957063
-3.0,30,67.988316
57.0,30,68.019563
13.0,30,68.050814
29.0,30,68.082066
1.0,30,68.128938
57.0,30,68.160192
49.0,30,68.19144
1.0,30,68.222691
-3.0,30,68.253941
9.0,30,68.285201
1.0,30,68.332063
61.0,30,71.160187
21.0,30,71.207065
105.0,30,71.238315
97.0,30,71.269563
49.0,30,71.31644
5.0,30,71.347688
69.0,30,71.378942
65.0,30,71.410188
5.0,30,71.457063
17.0,30,71.488323
57.0,30,71.519564
69.0,30,71.550815
53.0,30,71.582064
1.0,30,71.644563
61.0,30,71.675813
77.0,30,71.707063
5.0,30,71.748892
21.0,30,71.780144
69.0,30,71.811393
53.0,30,71.842644
29.0,30,71.873893
57.0,30,71.920767
29.0,30,71.952017
29.0,30,71.983266
81.0,30,72.01452
61.0,30,72.045767
45.0,30,72.077019
89.0,30,72.108268
25.0,30,72.155143
49.0,30,72.186395
29.0,30,72.217644
57.0,30,72.248892
89.0,30,72.280144
37.0,30,72.311393
33.0,30,72.342645
5.0,30,72.373893
17.0,30,72.405145
121.0,30,72.452018
45.0,30,72.48327
17.0,30,72.514518
81.0,30,72.545768
9.0,30,72.577018
41.0,30,72.623894
17.0,30,72.655146
5.0,30,72.686396
25.0,30,72.717645
5.0,30,72.764518
1.0,30,72.795767
105.0,30,72.842644
25.0,30,72.873893
53.0,30,72.905142
57.0,30,72.952019
25.0,30,72.983268
1.0,30,73.014518
77.0,30,73.045771
25.0,30,73.092646
65.0,30,73.123895
53.0,30,73.155143
41.0,30,73.186396
41.0,30,73.217644
69.0,30,73.248892
1.0,30,73.280144
49.0,30,73.327018
85.0,30,73.358269
29.0,30,73.389518
61.0,30,73.420769
33.0,30,73.452019
25.0,30,73.498894
61.0,30,76.327018
45.0,30,76.373894
73.0,30,76.405143
37.0,30,76.436393
29.0,30,76.483267
25.0,30,76.514517
21.0,30,76.545771
85.0,30,76.592644
25.0,30,76.639519
45.0,30,76.670769
17.0,30,76.717645
17.0,30,76.796875
17.0,30,76.828123
61.0,30,76.875
57.0,30,76.921874
41.0,30,76.96875
17.0,30,77.000003
13.0,30,77.046875
29.0,30,77.078141
101.0,30,77.125
9.0,30,77.171875
5.0,30,77.203125
33.0,30,77.250001
45.0,30,77.296874
25.0,30,77.343749
21.0,30,77.375
9.0,30,77.421874
45.0,30,77.468748
53.0,30,77.499999
29.0,30,77.546876
133.0,30,77.593749
69.0,30,77.640625
105.0,30,77.671874
77.0,30,77.703122
-11.0,30,77.749999
61.0,30,77.781247
89.0,30,77.812498
53.0,30,77.859372
41.0,30,77.890623
49.0,30,77.921876
21.0,30,77.953123
61.0,30,77.984373
41.0,30,78.031248
1.0,30,78.062499
77.0,30,78.09375
85.0,30,78.156248
41.0,30,78.203123
41.0,30,78.234372
53.0,30,78.265623
41.0,30,78.296872
45.0,30,78.328124
21.0,30,78.374999
45.0,30,78.406248
45.0,30,78.437499
29.0,30,78.484372
81.0,30,78.515623
37.0,30,78.546873
33.0,30,78.593748
37.0,30,78.624999
5.0,30,78.671875
29.0,30,78.703123
105.0,30,78.734372
41.0,30,78.781246
49.0,30,78.812499
77.0,30,78.84375
29.0,30,78.874999
41.0,30,78.906247
65.0,30,78.953124
81.0,30,78.984373
61.0,30,81.843748
37.0,30,81.890626
57.0,30,81.921872
57.0,30,81.953122
1.0,30,81.999998
33.0,30,82.031248
37.0,30,82.062498
77.0,30,82.102134
21.0,30,82.133387
17.0,30,82.211512
81.0,30,82.242759
45.0,30,82.27401
85.0,30,82.305259
41.0,30,82.33651
49.0,30,82.36776
33.0,30,82.414638
9.0,30,82.445885
1.0,30,82.477137
45.0,30,82.508386
21.0,30,82.555263
5.0,30,82.586514
1.0,30,82.617763
37.0,30,82.664635
81.0,30,82.695885
13.0,30,82.727137
33.0,30,82.758387
41.0,30,82.80526
61.0,30,82.836512
21.0,30,82.86776
25.0,30,82.89901
33.0,30,82.930261
